category,item,n,fraction,note
target_records_by_status,included,880782,0.8609432839088875,no-metal/inorganic target_records
target_records_by_status,excluded,142261,0.1390567160911125,no-metal/inorganic target_records
included_toxicity_value_source,mean,787117,0.8936570002565901,included targets only
included_toxicity_value_source,min_max_midpoint,93665,0.10634299974340983,included targets only
included_ptox_mol_l_toxicity_value_source,mean,482877,0.8866619782189162,included pTox mol/L targets only
included_ptox_mol_l_toxicity_value_source,min_max_midpoint,61724,0.11333802178108376,included pTox mol/L targets only
curated_aquatic_soil_ptox_qc,total,233398,1.0,aggregated table
curated_aquatic_soil_ptox_qc_by_medium,aquatic,219849,0.9419489455779398,aggregated table
curated_aquatic_soil_ptox_qc_by_medium,soil,13549,0.05805105442206017,aggregated table
curated_unique_counts,CAS,6490,,aggregated table
curated_unique_counts,DTXSID,6423,,aggregated table
curated_unique_counts,SMILES,6353,,aggregated table
curated_unique_counts,latin_name,4589,,aggregated table
curated_unique_counts,task_head,113,,aggregated table
split_assignment_counts,M_v2_aquatic_to_soil_ptox_no_metal_adapt_B_random_8_2_f100|finetune,10839,0.0464399866322762,split_assignments
split_assignment_counts,M_v2_aquatic_to_soil_ptox_no_metal_adapt_B_random_8_2_f100|test,2710,0.011611067789783974,split_assignments
split_assignment_counts,M_v2_aquatic_to_soil_ptox_no_metal_adapt_B_random_8_2_f100|train,219849,0.9419489455779398,split_assignments
split_assignment_counts,M_v2_aquatic_to_soil_ptox_no_metal_adapt_E_random_5fold_fold1_f100|finetune,10839,0.0464399866322762,split_assignments
split_assignment_counts,M_v2_aquatic_to_soil_ptox_no_metal_adapt_E_random_5fold_fold1_f100|test,2710,0.011611067789783974,split_assignments
split_assignment_counts,M_v2_aquatic_to_soil_ptox_no_metal_adapt_E_random_5fold_fold1_f100|train,219849,0.9419489455779398,split_assignments
split_assignment_counts,M_v2_aquatic_to_soil_ptox_no_metal_adapt_E_random_5fold_fold2_f100|finetune,10839,0.0464399866322762,split_assignments
split_assignment_counts,M_v2_aquatic_to_soil_ptox_no_metal_adapt_E_random_5fold_fold2_f100|test,2710,0.011611067789783974,split_assignments
split_assignment_counts,M_v2_aquatic_to_soil_ptox_no_metal_adapt_E_random_5fold_fold2_f100|train,219849,0.9419489455779398,split_assignments
split_assignment_counts,M_v2_aquatic_to_soil_ptox_no_metal_adapt_E_random_5fold_fold3_f100|finetune,10839,0.0464399866322762,split_assignments
split_assignment_counts,M_v2_aquatic_to_soil_ptox_no_metal_adapt_E_random_5fold_fold3_f100|test,2710,0.011611067789783974,split_assignments
split_assignment_counts,M_v2_aquatic_to_soil_ptox_no_metal_adapt_E_random_5fold_fold3_f100|train,219849,0.9419489455779398,split_assignments
split_assignment_counts,M_v2_aquatic_to_soil_ptox_no_metal_adapt_E_random_5fold_fold4_f100|finetune,10839,0.0464399866322762,split_assignments
split_assignment_counts,M_v2_aquatic_to_soil_ptox_no_metal_adapt_E_random_5fold_fold4_f100|test,2710,0.011611067789783974,split_assignments
split_assignment_counts,M_v2_aquatic_to_soil_ptox_no_metal_adapt_E_random_5fold_fold4_f100|train,219849,0.9419489455779398,split_assignments
split_assignment_counts,M_v2_aquatic_to_soil_ptox_no_metal_adapt_E_random_5fold_fold5_f100|finetune,10840,0.046444271159135894,split_assignments
split_assignment_counts,M_v2_aquatic_to_soil_ptox_no_metal_adapt_E_random_5fold_fold5_f100|test,2709,0.011606783262924275,split_assignments
split_assignment_counts,M_v2_aquatic_to_soil_ptox_no_metal_adapt_E_random_5fold_fold5_f100|train,219849,0.9419489455779398,split_assignments
