模块,单元,水相pTox预训练,土壤pTox适配,Stage3策略,输入,种子数,执行方式,当前状态
B1,M00,否,否,从头训练,Full,4,固定Stage3边界严格重训,已完成
B1,M10,是,否,全参数微调,Full,4,新训练,已完成
B1,M01,否,是,全参数微调,Full,4,新训练,已完成
B1,M11U,是,是,全参数微调,Full,4,新训练并复现v1.2.40,已完成
B1,M11F,是,是,仅head且trunk冻结,Full,4,新训练并与M11U共用Stage2,已完成
B2,Mean baseline,不适用,不适用,无训练,训练集任务均值,0,汇总计算,已完成
B2,Context-only,是,是,全参数微调,物种终点时长实验上下文,4,新训练,已完成
B2,Molecule-only,是,是,全参数微调,描述符与指纹,4,新训练,已完成
B2,Full,是,是,全参数微调,分子与全部上下文,4,引用M11U,已完成
B3,Scale-Mol,是,是,全参数微调,-log10(mol/kg),4,复用v1.2.40_X0_molar,已完成
B3,Scale-Mass,是,是,全参数微调,-log10(mg/kg),4,复用v1.2.40_X0_mass,已完成
B3,MW-only,不适用,不适用,无训练,分子量与任务均值,0,汇总计算,已完成
