evaluation_policy,split_strategy,task_family,task_head,folds_combined,seeds,ensemble_seed_count,n,r2,rmse,mae,huber_loss,source_result
chemical_holdout_f100_5seed,fixed_chemical_holdout,ECx,ECx_GeneticDamage,fixed_test,42;1042;2042;3042;4042,5,3,-1.7726508902682547,0.5972087047568976,0.5933827483808883,0.1783291185187056,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,ECx,ECx_Growth,fixed_test,42;1042;2042;3042;4042,5,234,0.5129602831184599,1.0274972436241958,0.7688256812064024,0.4268919204222351,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,ECx,ECx_Mortality,fixed_test,42;1042;2042;3042;4042,5,154,0.6056657117665725,1.1444452925787354,0.8835878640010246,0.4996304789197461,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,ECx,ECx_Physiology,fixed_test,42;1042;2042;3042;4042,5,20,0.8631807073490136,0.2951652405669565,0.2375299552089416,0.0435612596194746,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,ECx,ECx_Population,fixed_test,42;1042;2042;3042;4042,5,5,-0.1326810306159891,1.569523904059389,1.2988652141811348,0.8696313669697424,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,ECx,ECx_Reproduction,fixed_test,42;1042;2042;3042;4042,5,94,0.644954259592815,1.016103050341631,0.7960285843189379,0.4388344241614101,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,LOEC,LOEC_Accumulation,fixed_test,42;1042;2042;3042;4042,5,26,0.3126904923639331,1.2114465930035894,0.8618664828954492,0.490130699894311,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,LOEC,LOEC_Behavior,fixed_test,42;1042;2042;3042;4042,5,7,0.6936229354625228,1.3833760409914342,1.024362817274055,0.6813658127152927,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,LOEC,LOEC_Biochemical,fixed_test,42;1042;2042;3042;4042,5,244,0.5505038811373109,1.2577303366071453,0.974344535713114,0.5838213313490974,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,LOEC,LOEC_Development,fixed_test,42;1042;2042;3042;4042,5,40,0.4007025267968764,1.0805922912781736,0.8850665119072293,0.4945082892594097,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,LOEC,LOEC_GeneticDamage,fixed_test,42;1042;2042;3042;4042,5,83,0.6297655371988986,1.2224154761232588,0.889972230481535,0.5230626579887668,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,LOEC,LOEC_Growth,fixed_test,42;1042;2042;3042;4042,5,298,0.411621009560937,1.3093768495827285,0.9741812638590874,0.5988568273536325,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,LOEC,LOEC_Injury,fixed_test,42;1042;2042;3042;4042,5,11,0.4429990933140293,1.9247798628349944,1.5717627705029216,1.1655619304621934,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,LOEC,LOEC_Morphology,fixed_test,42;1042;2042;3042;4042,5,16,0.5373825548288323,0.978752405906629,0.743861057589642,0.3910675587743277,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,LOEC,LOEC_Mortality,fixed_test,42;1042;2042;3042;4042,5,26,0.6078787248871205,1.3868591404373252,1.0614572200367631,0.6730572304412777,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,LOEC,LOEC_Physiology,fixed_test,42;1042;2042;3042;4042,5,66,0.5940068847646971,1.3147147405494894,0.9931018372585608,0.6032981399431986,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,LOEC,LOEC_Population,fixed_test,42;1042;2042;3042;4042,5,90,0.4673716765760574,1.243786294398327,0.8898104804490206,0.5472053467443604,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,LOEC,LOEC_Reproduction,fixed_test,42;1042;2042;3042;4042,5,120,0.4204336522083113,1.235983802041399,0.9639497925276214,0.5790338345576964,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,NOEC,NOEC_Accumulation,fixed_test,42;1042;2042;3042;4042,5,10,0.3711442024617472,0.8562838418926906,0.6972172316623655,0.3490226615507507,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,NOEC,NOEC_Behavior,fixed_test,42;1042;2042;3042;4042,5,9,0.8124426904634834,1.205166907595056,1.0025728064745176,0.5813830825885553,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,NOEC,NOEC_Biochemical,fixed_test,42;1042;2042;3042;4042,5,175,0.4187740957107215,1.357853916631764,1.0078676534185098,0.6226289202954706,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,NOEC,NOEC_Development,fixed_test,42;1042;2042;3042;4042,5,40,0.3774962368476954,1.1547968211300308,0.8831673672669054,0.5240972943632326,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,NOEC,NOEC_GeneticDamage,fixed_test,42;1042;2042;3042;4042,5,50,0.2463588543862689,1.1853757597175123,0.9319364595930224,0.5398218707245646,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,NOEC,NOEC_Growth,fixed_test,42;1042;2042;3042;4042,5,353,0.3876467965729244,1.3652552501209332,1.051626549483386,0.6542239797268462,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,NOEC,NOEC_Injury,fixed_test,42;1042;2042;3042;4042,5,7,0.8617965224816059,0.9426936565513444,0.5962971758221672,0.362779530895677,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,NOEC,NOEC_Morphology,fixed_test,42;1042;2042;3042;4042,5,19,0.1356005972821707,1.4397689271673513,1.1049576786222617,0.7046261744443445,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,NOEC,NOEC_Mortality,fixed_test,42;1042;2042;3042;4042,5,74,0.6461926770037677,0.9358506653397844,0.6023803282991856,0.3314392573777253,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,NOEC,NOEC_Physiology,fixed_test,42;1042;2042;3042;4042,5,68,0.4823279688834166,1.4309125974219112,1.0828071589431183,0.6909724656403673,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,NOEC,NOEC_Population,fixed_test,42;1042;2042;3042;4042,5,97,0.4534180055741839,1.301891742242861,0.9786890107751696,0.6163132811138243,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,NOEC,NOEC_Reproduction,fixed_test,42;1042;2042;3042;4042,5,155,0.4575896549405086,1.1550428625658602,0.8635938070587799,0.5067132878200762,v1.2.12_anchor
random_5fold_3seed,random_5fold,ECx,ECx_GeneticDamage,fold1;fold2;fold3;fold4;fold5,42;1042;2042,3,300,0.2841208875892017,0.2389071540370262,0.1881346054280578,0.0285383141250356,v1.2.16_random_split_3seed
random_5fold_3seed,random_5fold,ECx,ECx_Growth,fold1;fold2;fold3;fold4;fold5,42;1042;2042,3,1247,0.8180537857977958,0.695916426843735,0.5098297724115578,0.2100902523729842,v1.2.16_random_split_3seed
random_5fold_3seed,random_5fold,ECx,ECx_Mortality,fold1;fold2;fold3;fold4;fold5,42;1042;2042,3,505,0.6788971053017746,1.0992043848536863,0.6952784262791458,0.3867232162973172,v1.2.16_random_split_3seed
random_5fold_3seed,random_5fold,ECx,ECx_Physiology,fold1;fold2;fold3;fold4;fold5,42;1042;2042,3,79,0.8775236933629074,0.4284556914326241,0.2550214816475113,0.0832880416336483,v1.2.16_random_split_3seed
random_5fold_3seed,random_5fold,ECx,ECx_Population,fold1;fold2;fold3;fold4;fold5,42;1042;2042,3,103,0.668050016810338,0.7944893717323195,0.5863181066526248,0.2733621624869486,v1.2.16_random_split_3seed
random_5fold_3seed,random_5fold,ECx,ECx_Reproduction,fold1;fold2;fold3;fold4;fold5,42;1042;2042,3,571,0.8799439833352455,0.6588920844724865,0.4974756515888658,0.1990542907008948,v1.2.16_random_split_3seed
random_5fold_3seed,random_5fold,LOEC,LOEC_Accumulation,fold1;fold2;fold3;fold4;fold5,42;1042;2042,3,233,0.5828666376179635,1.0203698775480967,0.7229261130989822,0.3832860561515406,v1.2.16_random_split_3seed
random_5fold_3seed,random_5fold,LOEC,LOEC_Behavior,fold1;fold2;fold3;fold4;fold5,42;1042;2042,3,53,0.8224673215489079,1.0079402019600732,0.8227469529292213,0.4327381033497278,v1.2.16_random_split_3seed
random_5fold_3seed,random_5fold,LOEC,LOEC_Biochemical,fold1;fold2;fold3;fold4;fold5,42;1042;2042,3,1438,0.7989396371364297,0.8855259075900775,0.6066824087708483,0.2941526431612519,v1.2.16_random_split_3seed
